index,axis-0,axis-1,axis-2,axis-3
0.0,0.0,121.0,935.3694698251185,943.0754133895623
1.0,0.0,121.0,958.53079760337,938.8440169685356
2.0,0.0,121.0,974.1201528387317,958.4420635501331
3.0,0.0,121.0,950.9588250604801,966.6821513173957
4.0,0.0,121.0,919.7801145897569,926.8179429298281
5.0,0.0,121.0,905.9723999527223,935.7261459214633
6.0,0.0,121.0,914.2124877199849,957.1058331013878
7.0,0.0,121.0,904.8356036383359,908.4323232190222
8.0,0.0,121.0,887.6873128794381,916.6724109862848
9.0,0.0,121.0,938.9094800813405,921.5719226316842
10.0,0.0,121.0,981.0007392168168,934.7115220443461
11.0,0.0,121.0,997.480914751342,949.6327620553351
12.0,0.0,121.0,993.0268132555243,979.029831927731
