index,axis-0,axis-1,axis-2
0.0,656.0,471.46661607335335,533.3502462751268
1.0,656.0,514.5998426374454,511.78363299308074
2.0,656.0,538.36713074419,482.2945903421199
3.0,656.0,432.73473915865844,548.314835083077
4.0,671.0,431.41433426383935,580.0045525587366
5.0,671.0,465.7448615291371,566.3603686456054
6.0,671.0,502.71619858407314,541.7128106089814
7.0,671.0,536.6065908844312,515.7448476775381
8.0,705.0,454.7414874056442,605.9725154901797
9.0,705.0,495.67403914503745,582.6453623483749
10.0,705.0,529.1242964804558,557.1175343818713
11.0,705.0,557.2929342365975,530.7094364854885
12.0,726.0,437.1360888080553,629.2996686319847
13.0,726.0,481.1495853020268,613.4548098941549
14.0,726.0,521.2018671115409,587.046711997772
15.0,726.0,548.4902349378033,562.8392889260876
16.0,726.0,577.5391426238244,539.0720008193431
