,mct_path,y_path,y_hat_path,num_tps,num_fps,num_fns,precision,recall,f1
151,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_1_y_1_z_2_average_threshold_0.4_prediction_peak_min_val_0_2_method_center_of_mass.resampled_space_peaks.csv,5021,1288,3110,0.795847202409257,0.617513221006026,0.695429362880886
153,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_1_y_1_z_2_average_threshold_0.4_prediction_peak_min_val_0_3_method_center_of_mass.resampled_space_peaks.csv,5021,1288,3110,0.795847202409257,0.617513221006026,0.695429362880886
110,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_1_y_1_z_2_average_threshold_None_prediction_peak_min_val_0_25_method_center_of_mass.resampled_space_peaks.csv,4957,1229,3174,0.801325573876495,0.60964211044152,0.692463504924216
114,./dataset/fiddlercrab_corneas/whole/test_images_10/dampieri_male_16-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/dampieri_male_16-corneas.csv,./output/dampieri_male_16-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_1_y_1_z_2_average_threshold_0.2_prediction_peak_min_val_0_25_method_center_of_mass.resampled_space_peaks.csv,2983,500,2273,0.856445592879701,0.567541856925419,0.68268680627074
199,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_1_y_1_z_1_average_threshold_0.2_prediction_peak_min_val_0_2_method_max_filter.resampled_space_peaks.csv,4823,1199,3308,0.800896712055795,0.593161972697085,0.681551614498693
27,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_1_y_1_z_2_average_threshold_0.4_prediction_peak_min_val_0_3_method_max_filter.resampled_space_peaks.csv,5021,1585,3110,0.760066606115652,0.617513221006026,0.681414127705775
91,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_1_y_1_z_2_average_threshold_0.4_prediction_peak_min_val_0_4_method_max_filter.resampled_space_peaks.csv,5021,1585,3110,0.760066606115652,0.617513221006026,0.681414127705775
172,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_1_y_1_z_2_average_threshold_0.4_prediction_peak_min_val_0_2_method_max_filter.resampled_space_peaks.csv,5021,1585,3110,0.760066606115652,0.617513221006026,0.681414127705775
188,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_1_y_1_z_2_average_threshold_0.4_prediction_peak_min_val_0_25_method_max_filter.resampled_space_peaks.csv,5021,1585,3110,0.760066606115652,0.617513221006026,0.681414127705775
203,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_1_y_1_z_2_average_threshold_0.2_prediction_peak_min_val_0_3_method_max_filter.resampled_space_peaks.csv,5703,2917,2428,0.661600928074246,0.701389742959046,0.680914572264342
196,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_1_y_1_z_2_average_threshold_0.3_prediction_peak_min_val_0_4_method_max_filter.resampled_space_peaks.csv,5208,2035,2923,0.719039072207649,0.640511622186693,0.677507480161311
17,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_1_y_1_z_2_average_threshold_None_prediction_peak_min_val_0_3_method_center_of_mass.resampled_space_peaks.csv,4736,1209,3395,0.79663582842725,0.58246218177346,0.672918442739415
135,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_1_y_1_z_2_average_threshold_None_prediction_peak_min_val_0_3_method_max_filter.resampled_space_peaks.csv,4774,1309,3357,0.784810126582278,0.587135653671135,0.67173209511749
50,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_1_y_1_z_2_average_threshold_0.4_prediction_peak_min_val_0_5_method_center_of_mass.resampled_space_peaks.csv,4710,1194,3421,0.797764227642276,0.579264543106629,0.671179194869968
