index,axis-0,axis-1,axis-2,axis-3
0.0,0.0,483.72277102438164,475.2126595862469,188.0
1.0,0.0,466.8183007235753,506.6294581641605,188.0
2.0,0.0,510.5147616898105,494.987700315492,191.0
3.0,0.0,530.7682308237954,465.4846153565376,191.0
4.0,0.0,498.23509930148896,522.2581193856606,191.0
5.0,0.0,560.9092203224029,463.73037787249166,196.0
6.0,0.0,557.7196976241376,480.63484817329794,196.0
7.0,0.0,541.9315602677241,517.9522637430025,196.0
8.0,0.0,602.0540631300258,473.29894596728764,210.0
9.0,0.0,593.761304114536,511.732694481385,210.0
10.0,0.0,578.9300235676021,543.6279214640384,210.0
11.0,0.0,640.6472877790364,460.38137903931306,220.0
12.0,0.0,640.6472877790364,491.79817761722666,220.0
13.0,0.0,632.0355764937201,530.3914022662373,220.0
