x,y,z
1.280000000000000000e+02,2.500000000000000000e+01,1.070000000000000000e+02
1.250000000000000000e+02,2.600000000000000000e+01,8.800000000000000000e+01
1.200000000000000000e+02,1.120000000000000000e+02,1.170000000000000000e+02
1.200000000000000000e+02,1.100000000000000000e+02,1.270000000000000000e+02
9.100000000000000000e+01,1.070000000000000000e+02,3.300000000000000000e+01
9.100000000000000000e+01,5.900000000000000000e+01,1.700000000000000000e+01
8.900000000000000000e+01,1.290000000000000000e+02,8.300000000000000000e+01
