,mct_path,y_path,y_hat_path,num_tps,num_fps,num_fns,precision,recall,f1
0,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_2_y_1_z_1_average_threshold_None_prediction_peak_min_val_0_25_method_center_of_mass.resampled_space_peaks.csv,4489,681,3642,0.8682785299806577,0.5520846144385685,0.6749868430945042
1,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_2_y_1_z_3_average_threshold_0.2_prediction_peak_min_val_0_2_method_max_filter.resampled_space_peaks.csv,5445,1257,2686,0.8124440465532676,0.66965932849588,0.7341738016584642
2,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_2_y_1_z_1_average_threshold_0.5_prediction_peak_min_val_0_25_method_center_of_mass.resampled_space_peaks.csv,4489,681,3642,0.8682785299806577,0.5520846144385685,0.6749868430945042
3,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_2_y_1_z_2_average_threshold_None_prediction_peak_min_val_0_25_method_center_of_mass.resampled_space_peaks.csv,5059,1106,3072,0.8206001622060016,0.6221866929037019,0.7077504196978176
4,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_2_y_1_z_2_average_threshold_0.2_prediction_peak_min_val_0_3_method_max_filter.resampled_space_peaks.csv,4519,933,3612,0.8288701393983859,0.5557741975156807,0.6653905617315762
5,./dataset/fiddlercrab_corneas/whole/test_images_10/flammula_20190925_male_left-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/flammula_20190925_male_left-corneas.csv,./output/flammula_20190925_male_left-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_2_y_1_z_2_average_threshold_0.3_prediction_peak_min_val_0_5_method_max_filter.resampled_space_peaks.csv,2292,252,5839,0.9009433962264151,0.28188414709137866,0.4294145199063231
6,./dataset/fiddlercrab_corneas/whole/test_images_10/dampieri_male_16-image.nii,./dataset/fiddlercrab_corneas/whole/test_labels_10/dampieri_male_16-corneas.csv,./output/dampieri_male_16-image.logs_fiddlercrab_corneas_lightning_logs_version_26_checkpoints_last_x_3_y_3_z_3_average_threshold_None_prediction_peak_min_val_0_25_method_center_of_mass.resampled_space_peaks.csv,3861,723,1395,0.8422774869109948,0.7345890410958904,0.7847560975609756
