index,axis-0,axis-1,axis-2
0.0,869.0,482.72705039043893,109.79786067351219
1.0,869.0,516.7101156472467,127.3962337529305
2.0,869.0,545.838457295939,146.2082877343776
3.0,869.0,573.146277591588,171.69558667698337
4.0,869.0,591.3514911220208,192.32816201147378
5.0,869.0,613.19774735854,217.20862050306513
6.0,869.0,635.0440035950593,240.26855764161323
7.0,869.0,641.1124081052035,260.90113297610367
8.0,898.0,537.3426909817371,142.56724502829107
9.0,898.0,565.2573517284005,155.91773495060838
10.0,898.0,587.1036079649198,176.5503102850988
11.0,898.0,609.5567046524535,203.2512901297334
12.0,935.0,548.8726595510111,143.7809259303199
13.0,935.0,570.112075336516,164.41350126481032
14.0,935.0,589.5309697689775,185.04607659930073
