index,axis-0,axis-1,axis-2,axis-3
0.0,0.0,643.0,780.7041453714343,299.3476161810385
1.0,0.0,643.0,793.3460035115233,317.04621757716336
2.0,0.0,643.0,808.5162332796303,336.00900478729704
3.0,0.0,643.0,828.1111133967686,354.33969909042634
4.0,0.0,643.0,847.0739006069023,374.566672114569
5.0,0.0,643.0,866.6687807240405,389.73690188267597
6.0,0.0,643.0,919.1324920054104,394.7936451387116
7.0,0.0,643.0,893.2166828182277,380.8876011846135
8.0,0.0,643.0,871.0934310730717,363.18899978848873
9.0,0.0,643.0,852.1306438629379,345.4903983923639
10.0,0.0,643.0,834.4320424668131,327.15970408923465
11.0,0.0,643.0,818.6297197917017,308.8290097861054
12.0,0.0,643.0,805.3557687446082,291.1304083899806
13.0,0.0,643.0,792.0818176975146,272.16762117984683
14.0,0.0,643.0,805.9878616516127,254.46901978372205
15.0,0.0,643.0,814.837162349675,267.1108779238112
16.0,0.0,643.0,830.0073921177817,282.9132005989226
17.0,0.0,643.0,841.3850644438623,301.2438949020519
